date,user,location,text
2021-03-02 08:55:58,ayat_wisam,,"@love_YF9 Racism is not an opinion
#StopAsianHate 
#AsiansAreHuman 
#Matuschik_OUT
#NOtoRacism #GermanMEDIA_racism… https://t.co/zmgknWb8aN"
2021-03-02 08:55:28,SoniyaTMagar1,,"@jtoni_n @vanteficient RACISM IS NOT AN OPINION

#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 08:54:46,Apara7Tarika,"Chittagong, Bangladesh","@ryuminating Done.
RACISM IS NOT AN OPINION
#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 08:53:03,lovexvante,,"@papermagazine Thank you 💜
#GermanMEDIA_racism
#DeutscheMEDIEN_Rassismus
#NEINzuRassismus
#NOtoRacism"
2021-03-02 08:52:18,Meli49135500,,"Watch this video Eng and Kor sub https://t.co/kdKIIdihWd

#Bayern3_racism #Bayern3_Rassismus #Bayern3Racist… https://t.co/uYgco9fIKK"
2021-03-02 08:50:27,MYANC,South Africa,@MYANC Comrade Jessie Duarte today leads a picket outside ENCA head office in Johannesburg as part of our nationwid… https://t.co/dM961OMmjK
2021-03-02 08:49:40,BewickBM,"Leeds, England",#powerfulpoetey from the amazing @Sharenaleesatti #NOtoRacism #goosebumps #nameste https://t.co/5lGYICrwi5
2021-03-02 08:48:07,y0urthang,SHE/HER •# ARMYCARAT,"@boochenjukii Racism is not an opinion

#NOtoRacism 
#MatuschikOUT 
#Bayern3_racism 
#GermanMEDIA_racism"
2021-03-02 08:47:58,MYANC,South Africa,@MYANC Comrade Jessie Duarte today leads a picket outside ENCA head office in Johannesburg as part of our nationwid… https://t.co/rkhSZZ9cdL
2021-03-02 08:46:38,powerfultannies,suga biased | 2016 army,"@ryuminating ARMYS PLS JOIN

RACISM IS NOT AN OPINION
#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT… https://t.co/iccL6zBHGq"
2021-03-02 08:43:40,Cleo_bangtan,,"@papermagazine Thank you 💜💜
#GermanMEDIA_racism
#DeutscheMEDIEN_Rassismus
#NEINzuRassismus
#NOtoRacism"
2021-03-02 08:42:33,novitasari28112,Indonesia,"@almostdita Done

#NOtoRacism 
#MatuschikOUT 
#Bayern3_racism 
#GermanMEDIA_racism"
2021-03-02 08:40:47,Luckymanyuma,"Pretoria, South Africa","#NoToRacism I will never use my vote to put a Party into the offices of power, then march with the same organizatio… https://t.co/kIEqhtTrkB"
2021-03-02 08:39:39,Sharenaleesatti,Bradford ,"If you can do anything today, let is be watching this and sharing the message too. #NOtoRacism #notoracisminsport… https://t.co/LPTUOr7UMe"
2021-03-02 08:39:32,ewnreporter,South Africa,#NoToRacism Duarte says 53 of the ANC’s regions are taking part in today’s national picket against racism. Here out… https://t.co/lyLdsG4xuW
2021-03-02 08:39:08,jooniesmoonie7,she/her • BTSpoper ,"@ryuminating Done.
RACISM IS NOT AN OPINION
#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 08:38:19,liadonlives,chillin' on Baltigo,We are still waiting for @bayern3 and the german medias to aknowledge that #RacismIsNotAnOpinion ! We won't forget.… https://t.co/XtWOjfKOTh
2021-03-02 08:37:38,VampireJin7,under your bed,"RACISM IS NOT AN OPINION

#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 08:35:46,ewnreporter,South Africa,#NoToRacism The ANC’s Jessie Duarte: “It doesn’t matter if you are black or white. If you express yourself in racis… https://t.co/2sDnJ3MP6o
2021-03-02 08:35:19,MYANC,South Africa,@MYANC Comrade Jessie Duarte today leads a picket outside ENCA head office in Johannesburg as part of our nationwid… https://t.co/N5AepGRnWl
2021-03-02 08:35:08,ElizabethJLeee,anywhere but here,"@vanteficient @jtoni_n RACISM IS NOT AN OPINION
#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT
#DeutscheMEDIEN_Rassismus
#GermanMEDIA_racism"
2021-03-02 08:34:17,MYANC,South Africa,@MYANC Comrade Jessie Duarte today leads a picket outside ENCA head office in Johannesburg as part of our nationwid… https://t.co/Vnbr0VpE5e
2021-03-02 08:33:54,ryuminating,,"@amitranstruggle Yeah! We can do this!!! RAWWWWRRRRR!!!! 😘😍💜💜💜

#NOtoRacism
#NEINzuRassismus
#StopAsianHate 
#DeutscheMEDIEN_Rassismus"
2021-03-02 08:33:47,BalochSami,"Saskatoon, Saskatchewan",Patients asked black Derby nurse if she was qualified via @BBCNews #NHS #ukpoli #COVID19 #NoToRacism… https://t.co/upQzVOm025
