personLabel,twitterUsername,dateOfDeath,countryLabel,dateOfBirth
Masahiko Katsuya,u_katsuya,2018-11-28T00:00:00Z,Japan,1960-12-06T00:00:00Z
John Coughlin,JohnCoughlinUSA,2019-01-18T00:00:00Z,United States of America,1985-12-01T00:00:00Z
Anthony Shadid,anthonyshadid,2012-02-16T00:00:00Z,United States of America,1968-09-26T00:00:00Z
Oliviero Beha,olivierobeha,2017-05-13T00:00:00Z,Italy,1949-01-14T00:00:00Z
Robert Miles,DJRobertMiles,2017-05-09T00:00:00Z,Italy,1969-11-03T00:00:00Z
Jonas Gwangwa,jonasgwangwa,2021-01-23T00:00:00Z,South Africa,1937-10-10T00:00:00Z
Shin Hae Chul,cromshin,2014-10-27T00:00:00Z,Korea,1968-05-06T00:00:00Z
Charles Cohen,beepsandboops,2017-09-29T00:00:00Z,United States of America,1945-10-09T00:00:00Z
Alexandra Cheron,alecheron,2011-05-21T00:00:00Z,United States of America,1983-01-16T00:00:00Z
Sadanji Tatekawa,sadanzi,2018-03-19T00:00:00Z,Japan,1950-12-02T00:00:00Z
Mahmoud Elkamshoushy,poetkamshoushy,1971-03-05T00:00:00Z,Egypt,1915-07-28T00:00:00Z
Billie Holiday,billieholidayhq,1959-07-17T00:00:00Z,United States of America,1915-04-07T00:00:00Z
Àlex Casademunt,alex_casad,2021-03-02T00:00:00Z,Spain,1981-06-30T00:00:00Z
Wijdan al-Naqib,wijdanalnakeeb,2016-09-15T00:00:00Z,Iraq,1991-09-30T00:00:00Z
Akio Kuroki,kuroki_akio,2010-11-01T00:00:00Z,Japan,1957-12-19T00:00:00Z
Scott Stoked,scottstoked,2015-01-30T00:00:00Z,Canada,1973-01-17T00:00:00Z
Kim Joo-hyuk,Jooya23,2017-10-30T00:00:00Z,South Korea,1972-10-03T00:00:00Z
Akara Arisato,MoonRed0831,2015-07-02T00:00:00Z,Japan,1961-08-31T00:00:00Z
Kō Masaki,Masaki_Koh,2013-05-18T00:00:00Z,Japan,1983-07-20T00:00:00Z
Masaki Iwana,masakiiwana,2020-11-11T00:00:00Z,Japan,1945-02-01T00:00:00Z
John McCain,SenJohnMccain,2018-08-25T00:00:00Z,United States of America,1936-08-29T00:00:00Z
Carles Capdevila,CarlesCapde,2017-06-01T00:00:00Z,Spain,1965-08-13T00:00:00Z
Bernard Tyson,BernardJTyson,2019-11-10T00:00:00Z,United States of America,1959-01-20T00:00:00Z
Valeriano Jarné López,valerianojarne,2015-08-21T00:00:00Z,Spain,1936-11-28T00:00:00Z
Mufti Muhammad Naeem,muftimnaeem,2020-06-20T00:00:00Z,Pakistan,1958-01-01T00:00:00Z
Q30149000,noriyasuisshiki,2017-05-09T00:00:00Z,Japan,1979-09-11T00:00:00Z
Pete Namlook,petenamlook,2012-11-08T00:00:00Z,Germany,1960-01-01T00:00:00Z
Q53628785,murutukus,2018-05-12T00:00:00Z,South Korea,1968-07-16T00:00:00Z
María de Villota,mariavillota,2013-10-11T00:00:00Z,Spain,1980-01-13T00:00:00Z
Eiko Hanamura,eico_hanamura,2020-12-03T00:00:00Z,Japan,1929-11-09T00:00:00Z
Seishi Nakamoto,seishinakamoto,2000-04-03T00:00:00Z,Japan,1939-11-10T00:00:00Z
Chespirito,ChespiritoRGB,2014-11-28T00:00:00Z,Mexico,1929-02-21T00:00:00Z
Pierce Fulton,PierceFulton,2021-04-29T00:00:00Z,United States of America,1992-06-06T00:00:00Z
Rachel Caine,rachelcaine,2020-11-01T00:00:00Z,United States of America,1962-04-27T00:00:00Z
Nínawa Daher,NinawaDaher,2011-01-09T00:00:00Z,Argentina,1979-10-03T00:00:00Z
Iceu Wong,iceuwong84,2015-07-22T00:00:00Z,Indonesia,1984-08-29T00:00:00Z
Midori Kiuchi,kiuchi_midori,2019-11-18T00:00:00Z,Japan,1950-09-25T00:00:00Z
Q56654046,khaliid_qadi,2018-09-15T00:00:00Z,Saudi Arabia,1955-01-01T00:00:00Z
Oren Zusman,orenzusman,2019-01-29T00:00:00Z,Israel,1981-01-01T00:00:00Z
Kim Bo-kyung,hibkkim,2021-02-02T00:00:00Z,South Korea,1976-04-03T00:00:00Z
Népal,klmbeats,2019-11-09T00:00:00Z,France,1990-10-12T00:00:00Z
Oren Zusman,ZusmanOren,2019-01-29T00:00:00Z,Israel,1981-01-01T00:00:00Z
Stacey Milbern,cripchick,2020-05-19T00:00:00Z,United States of America,1987-05-19T00:00:00Z
Óscar Alberto Pérez,oscaromshanti,2018-01-15T00:00:00Z,Venezuela,1981-04-07T00:00:00Z
Doe B,CBMDOEB,2013-12-28T00:00:00Z,United States of America,1991-06-13T00:00:00Z
Sylvain de Boissieu,SylvainBoissieu,2014-08-19T00:00:00Z,France,1969-03-25T00:00:00Z
Himura Masaki,xxshinkibaxx,2015-06-17T00:00:00Z,Japan,t45769780
Tatsuya Nōmi,TATSUYANEXT,2017-05-18T00:00:00Z,Japan,1969-08-13T00:00:00Z
Maria José Ragué Arias,ragueari,2019-06-18T00:00:00Z,Spain,1941-01-01T00:00:00Z
Marcos Reyes Andrade,MarcosReyesA,2017-05-21T00:00:00Z,Venezuela,1929-11-22T00:00:00Z
Mohd. Khusairi Abdul Talib,KhusairiTgMalim,2020-07-15T00:00:00Z,Malaysia,1961-01-01T00:00:00Z
Naeemul Haque,naeemul_haque,2020-02-15T00:00:00Z,Pakistan,1949-07-11T00:00:00Z
Motoji Takasu,takasumotoji,2019-09-17T00:00:00Z,Japan,1947-12-09T00:00:00Z
Aihud Pevsner,apevsner,2018-06-17T00:00:00Z,United States of America,1925-12-18T00:00:00Z
Emma Roca Rodríguez,emmaroca1,2021-06-18T00:00:00Z,Spain,1973-08-12T00:00:00Z
Aleksei Kuriatnikov,RoboManga,2016-05-12T00:00:00Z,Russia,1986-08-22T00:00:00Z
Keiji Fujiwara,AIR_AGENCY,2020-04-12T00:00:00Z,Japan,1964-10-05T00:00:00Z
John Perry Barlow,jpbarlow,2018-02-07T00:00:00Z,United States of America,1947-10-03T00:00:00Z
Aaliyah,AaliyahHaughton,2001-08-25T00:00:00Z,United States of America,1979-01-16T00:00:00Z
Riley Evans,rileyevansxxx,2019-03-28T00:00:00Z,United States of America,1986-06-03T00:00:00Z
Alejandro Jano Fuentes,janofuentes1,2016-06-18T00:00:00Z,Mexico,1971-06-16T00:00:00Z
King Von,kingvonfrmdawic,2020-11-06T00:00:00Z,United States of America,1994-08-09T00:00:00Z
Papa Wemba,Wembadio,2016-04-24T00:00:00Z,Democratic Republic of the Congo,1949-06-14T00:00:00Z
Brandon Jenkins,RedDirtLegend,2018-03-02T00:00:00Z,United States of America,1969-06-01T00:00:00Z
Clara Berenbau,ClaritaBerenbau,2013-04-24T00:00:00Z,Uruguay,1980-11-07T00:00:00Z
Kakushi Shōfukutei,kakushijapan2,2020-05-08T00:00:00Z,Japan,1955-08-24T00:00:00Z
Sam Haskins,Sam_Haskins,2009-11-26T00:00:00Z,South Africa,1926-11-11T00:00:00Z
Jacques Brel,ejbrel,1978-10-09T00:00:00Z,Belgium,1929-04-08T00:00:00Z
Sam Haskins,Sam_Haskins,2009-11-26T00:00:00Z,South Africa,1926-02-02T00:00:00Z
Takaharu Sawada,waraisawada,2021-05-16T00:00:00Z,Japan,1933-03-18T00:00:00Z
Lee Wai Chun,miss13dots,2020-08-27T00:00:00Z,Hong Kong,1930-01-01T00:00:00Z
Philippe Blanchart,PhilBlanchart,2019-12-26T00:00:00Z,Belgium,1963-02-13T00:00:00Z
Makoto Honda,hondamakoto,2021-01-30T00:00:00Z,Japan,1974-01-30T00:00:00Z
Montse Oliva Vilà,montseolivav,2018-10-20T00:00:00Z,Spain,1966-10-04T00:00:00Z
Q27917922,minami_kent,2017-11-30T00:00:00Z,Japan,1967-01-01T00:00:00Z
Hisham al-Hashimi,hushamalhashimi,2020-07-06T00:00:00Z,Ba'athist Iraq,1973-05-09T00:00:00Z
Tony Lewis,TonyLewisMusic,2020-10-20T00:00:00Z,United Kingdom,1957-12-21T00:00:00Z
Idriss Déby,MIdrissDebyItno,2021-04-20T00:00:00Z,Chad,1952-06-18T00:00:00Z
Bud Spencer,budspencerweb,2016-06-27T00:00:00Z,Italy,1929-10-31T00:00:00Z
Bud Spencer,budspencerweb,2016-06-27T00:00:00Z,Kingdom of Italy,1929-10-31T00:00:00Z
Norman Hollyn,schnittman,2019-03-17T00:00:00Z,United States of America,1952-05-11T00:00:00Z
Norman Hollyn,schnittman,2019-03-18T00:00:00Z,United States of America,1952-05-11T00:00:00Z
Pat Summitt,patsummitt,2016-06-28T00:00:00Z,United States of America,1952-06-14T00:00:00Z
Jimi Hendrix,JimiHendrix,1970-09-18T00:00:00Z,United States of America,1942-11-27T00:00:00Z
Gérard Bélorgey,GerardBelorgey,2015-12-24T00:00:00Z,France,1933-11-27T00:00:00Z
Leonard Nimoy,TheRealNimoy,2015-02-27T00:00:00Z,United States of America,1931-03-26T00:00:00Z
Mary Ann Mobley,maryannemobley,2014-12-09T00:00:00Z,United States of America,1937-02-17T00:00:00Z
Natasha Blu,natashablu43,2018-05-08T00:00:00Z,United States of America,1994-09-27T00:00:00Z
Rino Clerici,rclerici,2020-04-06T00:00:00Z,Italy,1955-02-24T00:00:00Z
DMX,dmx,2021-04-09T00:00:00Z,United States of America,1970-12-18T00:00:00Z
ʿAbd al-Rahman ʿAli Hajji,aaelhajji,2021-01-18T00:00:00Z,Iraq,1935-01-01T00:00:00Z
